cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado patiente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;hemácias;45-52;0
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;leucócitos;9-61;53
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;plaquetas;11-93;2
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;hdl;19-75;53
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;ldl;45-54;44
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;vldl;48-72;59
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;glicemia;25-83;85
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;tgo;50-84;14
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;tgp;38-63;3
003.596.348-42;Valentina Cruz;cortez.dickens@farrell.name;1979-04-04;644 Ponte Ryan Esteves;São José da Coroa Grande;Rondônia;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;L48HPF;2022-01-02;eletrólitos;2-68;27
